listings/id,listings/pix_cache_id,listings/listing_id,listings/class_id,listings/status_id,listings/list_price,listings/sold_price,listings/close_dt,listings/list_dt,listings/sold_dt,listings/status_dt,listings/update_dt,listings/apartment,listings/civicnum,listings/street,listings/tla,listings/mla,listings/pix_count,listings/st_type,listings/city,listings/address,listings/pid,listings/pid2,listings/pid3,listings/pid4,listings/parcel_class_id,listings/idx_optin,listings/nbeds,listings/nfullbaths,listings/nhalfbaths,listings/is_vp,listings/is_vp_sold,listings/listing_b1,listings/listing_b2,listings/oh,listings/has_energy,listings/is_following,properties/id,properties/class_id,properties/apartment,properties/area,properties/area_unit,properties/assessment,properties/city,properties/civicchar,properties/civicnum,properties/lat,properties/lng,properties/parcel_type,properties/pid,properties/polygons/0/points,properties/polygons/0/levels,properties/polygons/0/num_points,properties/polygons/0/zoom_factor,properties/ppid,properties/shape_pid,properties/st_type,properties/street,properties/history,properties/has_energy,properties/is_following
11312078,c15f08bc,202016512,5,2,69900,55000,,2020-08-18 0:00,2021-02-12 0:00,2021-02-17 9:39,2021-02-17 9:39,,Lot 22A,David,,,8,Street,Dartmouth,Lot 22A David Street,41288689,,,,1,t,,,,0,0,Realty Connect Ltd.,,,FALSE,FALSE,6913,1,,6100,sqft,273000,Dartmouth,,4,44.67251413,-63.53078762,standard,73056,kfretAjgrdxBvHoB~CxUiIzBmCeV,,,6,,73056,Street,Bruce,t,FALSE,FALSE
11327332,5416f85e,202023671,1,2,269900,275000,2021-01-28 0:00,2020-11-13 0:00,2021-01-20 0:00,2021-01-20 12:11,2021-01-20 12:11,,90,Belle Vista,2140,960,31,Drive,Dartmouth,90 Belle Vista Drive,202630,,,,1,t,3,1,1,0,0,Royal LePage Atlantic,,,FALSE,FALSE,15740,1,,9711,sqft,176200,Dartmouth,,146,44.68964075,-63.52854569,standard,170316,yssftA|smdxBtBiB`Mr`@oGfFoMo_@fDaD,,,6,,170316,Drive,Roleika,t,TRUE,FALSE
11338846,e3c2495e,202025675,5,2,89500,89500,2021-04-26 0:00,2020-12-18 0:00,2021-03-24 0:00,2021-03-26 11:38,2021-03-26 11:38,15,58,Spar,,,3,Crescent,Woodlawn Heights,Lot 15B 58 Spar Crescent,40171449,,,,1,t,,,,0,0,Harbourside Realty Ltd.,Harbourside Realty Ltd.,,FALSE,FALSE,15742,1,,9600,sqft,183700,Dartmouth,,132,44.6893612,-63.52829828,standard,170332,ofsftAtgmdxBpFgFlMta@uGlFmMy`@b@a@,,,6,,170332,Drive,Roleika,t,FALSE,FALSE
11338847,46eacbca,202025676,5,2,89500,89500,2021-04-26 0:00,2020-12-18 0:00,2021-03-24 0:00,2021-03-26 11:37,2021-03-26 11:37,15,60,Spar,,,3,Crescent,Woodlawn Heights,Lot 15A 60 Spar Crescent,40171456,,,,1,t,,,,0,0,Harbourside Realty Ltd.,Harbourside Realty Ltd.,,FALSE,FALSE,15746,1,,7000,sqft,246200,Dartmouth,,22,44.68756711,-63.52568839,standard,170373,}uoftAxmhdxB|HcI|HlRuHhIeIsR,,,6,,170373,Street,Booth,t,FALSE,FALSE
11339146,7483850b,202100130,1,2,409900,449000,2021-03-01 0:00,2021-01-06 0:00,2021-01-21 0:00,2021-01-21 16:46,2021-01-21 16:46,,20,Princeton,2638,1786,31,Lane,Dartmouth,20 Princeton Lane,40801458,,,,1,t,3,3,1,0,0,Red Door Realty,Red Door Realty,,FALSE,FALSE,15749,1,,7000,sqft,236400,Dartmouth,,28,44.68803563,-63.52617014,standard,170407,}rpftApkidxBlHuH~HzRmHrH_IyR,,,6,,170407,Street,Booth,t,FALSE,FALSE
11339199,c7c3c501,202100189,1,2,239900,257500,2021-02-01 0:00,2021-01-07 0:00,2021-01-19 0:00,2021-01-20 0:00,2021-01-20 14:20,,12,Collins Grove,1632,1237,29,Ridge,Dartmouth,12 Collins Grove Ridge,40370926,,,,1,t,2,2,1,0,0,Engel & Volkers,,,FALSE,TRUE,15771,1,,7150,sqft,190900,Dartmouth,,23,44.69165825,-63.52938308,standard,170639,wrwftAjnodxBrPlGiBrLwPgGlByL,,,6,,170639,Drive,Kennedy,t,FALSE,FALSE
11339219,e69a2d72,202100220,1,2,249900,252500,2021-01-28 0:00,2021-01-07 0:00,2021-01-21 0:00,2021-01-26 13:03,2021-01-26 13:03,211,89,Pebblecreek,986,986,30,Crescent,Dartmouth,211 89 Pebblecreek Crescent,41380775,,,,1,t,2,1,0,0,0,RE/MAX NOVA - 15867,,,FALSE,FALSE,15772,1,,3145,sqft,133200,Dartmouth,A,27,44.69156771,-63.52898561,standard,170647,amwftAfwndxB|O`Ls@bDePqIz@sF,,,6,,170647,Drive,Kennedy,t,FALSE,FALSE
11339353,05427b17,202100379,1,2,279000,315300,,2021-01-11 0:00,2021-01-26 0:00,2021-01-26 19:05,2021-01-26 19:05,,5,Belle Vista,1300,990,24,Drive,Dartmouth,5 Belle Vista Drive,195016,,,,1,t,4,1,0,0,0,Blue List Realty Canada,,,FALSE,FALSE,15773,1,,7500,sqft,193600,Dartmouth,A,29,44.69147064,-63.52873658,standard,170654,ojwftAtlndxBfGkHhLrQwAnCcAfCiPiNRuA,,,6,,170654,Drive,Kennedy,t,FALSE,FALSE
11339493,855a1463,202100542,1,2,265000,265000,2021-02-25 0:00,2021-01-11 0:00,2021-01-19 0:00,2021-01-19 0:00,2021-01-19 16:40,,258,Mount Edward,1920,960,4,Road,Dartmouth,258 Mount Edward Road,40080558,,,,1,t,3,2,0,0,0,Century 21 trident Realty Ltd.,Century 21 trident Realty Ltd.,,FALSE,FALSE,15774,1,,6000,sqft,254200,Dartmouth,A,31,44.691341,-63.52858377,standard,170662,eyvftA|xmdxBjJhSqB`Cu@`A{@pAiLsQ`HkI,,,6,,170662,Drive,Kennedy,t,FALSE,FALSE
11343108,92360035,202100814,1,2,174900,179000,2021-03-18 0:00,2021-01-19 0:00,2021-02-05 0:00,2021-02-09 11:22,2021-02-09 11:22,,24,Brompton,1437,1056,20,Road,Dartmouth,24 Brompton Road,40179053,,,,1,t,3,1,1,0,0,Keller Williams Select Realty,,,FALSE,FALSE,15786,1,,8055,sqft,258200,Dartmouth,,40,44.68952396,-63.52589496,standard,170811,orsftAr_idxBdAeAzJsKhHtO_JnJkKkL,,,6,,170811,Street,Fader,t,TRUE,FALSE
